CASRN,Chemical Name,De Minimis,Category Description,Category Member,Additional Information
98-07-7,Benzoic trichloride (Benzotrichloride),0.1,,,
191-24-2,"Benzo[g,h,i]perylene",*,,,
98-88-4,Benzoyl chloride,1.0,,,
94-36-0,Benzoyl peroxide,1.0,,,
100-44-7,Benzyl chloride,1.0,,,
7440-41-7,Beryllium,0.1,,,
82657-04-3,Bifenthrin,1.0,,,
92-52-4,Biphenyl,1.0,,,
3296-90-0,"2,2-Bis(bromomethyl)-1,3-propanediol",0.1,,,
111-91-1,Bis(2-chloroethoxy)methane,1.0,,,
111-44-4,Bis(2-chloroethyl) ether,1.0,,,
542-88-1,Bis(chloromethyl) ether,0.1,,,
108-60-1,Bis(2-chloro-1-methylethyl) ether,1.0,,,
56-35-9,Bis(tributyltin) oxide,1.0,,,
10294-34-5,Boron trichloride,1.0,,,
7637-07-2,Boron trifluoride,1.0,,,
314-40-9,Bromacil,1.0,,,
53404-19-6,"Bromacil, lithium salt",1.0,,,
7726-95-6,Bromine,1.0,,,
35691-65-7,"1-Bromo-1-(bromomethyl)-1,3-propanedicarbonitrile",1.0,,,
353-59-3,Bromochlorodifluoromethane (Halon 1211),1.0,,,
75-25-2,Bromoform (Tribromomethane),1.0,,,
74-83-9,Bromomethane (Methyl bromide),1.0,,,
106-94-5,1-Bromopropane,0.1,,,
75-63-8,Bromotrifluoromethane (Halon 1301),1.0,,,
1689-84-5,Bromoxynil,1.0,,,
1689-99-2,Bromoxynil octanoate,1.0,,,
357-57-3,Brucine,1.0,,,
106-99-0,"1,3-Butadiene",0.1,,,
141-32-2,Butyl acrylate,1.0,,,
71-36-3,n-Butyl alcohol (1-Butanol),1.0,,,
78-92-2,sec-Butyl alcohol (2-Butanol),1.0,,,
75-65-0,tert-Butyl alcohol (tert-Butanol),1.0,,,
106-88-7,"1,2-Butylene oxide",0.1,,,
123-72-8,Butyraldehyde,1.0,,,
4680-78-8,C.I. Acid Green 3,1.0,,,
6459-94-5,C.I. Acid Red 114,0.1,,,
569-64-2,C.I. Basic Green 4 (Malachite green),1.0,,,
989-38-8,C.I. Basic Red 1,1.0,,,
1937-37-7,C.I. Direct Black 38,0.1,,,
2602-46-2,C.I. Direct Blue 6,0.1,,,
28407-37-6,C.I. Direct Blue 218,0.1,,,
16071-86-6,C.I. Direct Brown 95,0.1,,,
2832-40-8,C.I. Disperse Yellow 3,1.0,,,
3761-53-3,C.I. Food Red 5,0.1,,,
81-88-9,C.I. Food Red 15 (Rhodamine B),1.0,,,
3118-97-6,C.I. Solvent Orange 7,1.0,,,
97-56-3,C.I. Solvent Yellow 3,0.1,,,
842-07-9,C.I. Solvent Yellow 14,1.0,,,
492-80-8,C.I. Solvent Yellow 34 (Auramine),0.1,,,
128-66-5,C.I. Vat Yellow 4,1.0,,,
7440-43-9,Cadmium,0.1,,,
156-62-7,Calcium cyanamide,1.0,,,
133-06-2,Captan,1.0,,,
63-25-2,Carbaryl,1.0,,,
1563-66-2,Carbofuran,1.0,,,
75-15-0,Carbon disulfide,1.0,,,
56-23-5,Carbon tetrachloride,0.1,,,
463-58-1,Carbonyl sulfide,1.0,,,
5234-68-4,Carboxin,1.0,,,
120-80-9,Catechol,0.1,,,
2439-01-2,Chinomethionate,1.0,,,
133-90-4,Chloramben,1.0,,,
57-74-9,Chlordane,*,,,
115-28-6,Chlorendic acid,0.1,,,
90982-32-4,Chlorimuron-ethyl,1.0,,,
7782-50-5,Chlorine,1.0,,,
10049-04-4,Chlorine dioxide,1.0,,,
79-11-8,Chloroacetic acid,1.0,,,
532-27-4,2-Chloroacetophenone,1.0,,,
4080-31-3,"1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride",1.0,,,
106-47-8,p-Chloroaniline,0.1,,,
108-90-7,Chlorobenzene,1.0,,,
510-15-6,Chlorobenzilate,1.0,,,
75-68-3,"1-Chloro-1,1-difluoroethane (HCFC-142b)",1.0,,,
75-45-6,Chlorodifluoromethane (HCFC-22),1.0,,,
75-00-3,Chloroethane,1.0,,,
67-66-3,Chloroform,0.1,,,
74-87-3,Chloromethane,1.0,,,
107-30-2,Chloromethyl methyl ether,0.1,,,
563-47-3,3-Chloro-2-methyl-1-propene,0.1,,,
104-12-1,p-Chlorophenyl isocyanate,1.0,,,
76-06-2,Chloropicrin,1.0,,,
126-99-8,Chloroprene,0.1,,,
542-76-7,3-Chloropropionitrile,1.0,,,
63938-10-3,Chlorotetrafluoroethane,1.0,,,
354-25-6,"1-Chloro-1,1,2,2-tetrafluoroethane (HCFC-124a)",1.0,,,
2837-89-0,"2-Chloro-1,1,1,2-tetrafluoroethane (HCFC-124)",1.0,,,
1897-45-6,Chlorothalonil,0.1,,,
95-69-2,p-Chloro-o-toluidine (4-Chloro-2-methylaniline),0.1,,,
75-88-7,"2-Chloro-1,1,1-trifluoroethane (HCFC-133a)",1.0,,,
75-72-9,Chlorotrifluoromethane (CFC-13),1.0,,,
460-35-5,"3-Chloro-1,1,1-trifluoropropane (HCFC-253fb)",1.0,,,
5598-13-0,Chlorpyrifos-methyl,1.0,,,
64902-72-3,Chlorsulfuron,1.0,,,
7440-47-3,Chromium,1.0,,,
7440-48-4,Cobalt,0.1,,,
7440-50-8,Copper,1.0,,,
8001-58-9,Creosote,0.1,,,
120-71-8,p-Cresidine,0.1,,,
108-39-4,m-Cresol,1.0,,,Isomer of: Cresol (mixed isomers) (1319-77-3)
95-48-7,o-Cresol,1.0,,,Isomer of: Cresol (mixed isomers) (1319-77-3)
106-44-5,p-Cresol,1.0,,,Isomer of: Cresol (mixed isomers) (1319-77-3)
1319-77-3,Cresol (mixed isomers),1.0,,,"Includes the following isomers: 
• o-Cresol (95-48-7)
• p-Cresol (106-44-5)
• m-Cresol (108-39-4)"
4170-30-3,Crotonaldehyde,1.0,,,
98-82-8,Cumene,0.1,,,
80-15-9,Cumene hydroperoxide,1.0,,,
135-20-6,Cupferron,0.1,,,
21725-46-2,Cyanazine,1.0,,,
1134-23-2,Cycloate,1.0,,,
110-82-7,Cyclohexane,1.0,,,
108-93-0,Cyclohexanol,1.0,,,
68359-37-5,Cyfluthrin,1.0,,,
68085-85-8,Cyhalothrin,1.0,,,
94-75-7,"2,4-D",0.1,,,
533-74-4,Dazomet,1.0,,,
53404-60-7,"Dazomet, sodium salt",1.0,,,
94-82-6,"2,4-DB",1.0,,,
1929-73-3,"2,4-D 2-butoxyethyl ester",0.1,,,
94-80-4,"2,4-D butyl ester",0.1,,,
2971-38-2,"2,4-D chlorocrotyl ester",0.1,,,
1163-19-5,Decabromodiphenyl oxide,1.0,,,
13684-56-5,Desmedipham,1.0,,,
1928-43-4,"2,4-D 2-ethylhexyl ester",0.1,,,
53404-37-8,"2,4-D 2-ethyl-4-methylpentyl ester",0.1,,,
2303-16-4,Diallate,1.0,,,
615-05-4,"2,4-Diaminoanisole",0.1,,,
39156-41-7,"2,4-Diaminoanisole sulfate",0.1,,,
101-80-4,"4,4'-Diaminodiphenyl ether",0.1,,,
95-80-7,"2,4-Diaminotoluene (2,4-Toluenediamine)",0.1,,,Isomer of: Diaminotoluene (mixed isomers) (Toluenediamine) (25376-45-8)
25376-45-8,Diaminotoluene (mixed isomers) (Toluenediamine),0.1,,,"Includes the following isomer:
• 2,4-Diaminotoluene (2,4-Toluenediamine) (95-80-7)"
333-41-5,Diazinon,0.1,,,
334-88-3,Diazomethane,1.0,,,
132-64-9,Dibenzofuran,1.0,,,
96-12-8,"1,2-Dibromo-3-chloropropane",0.1,,,
106-93-4,"1,2-Dibromoethane (Ethylene dibromide)",0.1,,,
124-73-2,"Dibromotetrafluoroethane (1,2-Dibromo-1,1,2,2-tetrafluoroethane)",1.0,,,
84-74-2,Dibutyl phthalate,1.0,,,
683-18-1,Dibutyltin dichloride,1.0,,,
1918-00-9,Dicamba,1.0,,,
99-30-9,Dichloran,1.0,,,
95-50-1,"1,2-Dichlorobenzene (o-Dichlorobenzene)",1.0,,,
541-73-1,"1,3-Dichlorobenzene (m-Dichlorobenzene)",1.0,,,
106-46-7,"1,4-Dichlorobenzene (p-Dichlorobenzene)",0.1,,,
25321-22-6,Dichlorobenzene (mixed isomers),0.1,,,
91-94-1,"3,3'-Dichlorobenzidine",0.1,,,
612-83-9,"3,3'-Dichlorobenzidine dihydrochloride",0.1,,,
64969-34-2,"3,3'-Dichlorobenzidine sulfate",0.1,,,
75-27-4,Dichlorobromomethane,0.1,,,
764-41-0,"1,4-Dichloro-2-butene",1.0,,,"Includes the following isomers: 
• trans-1,4-Dichloro-2-butene (110-57-6)
• cis-1,4-Dichloro-2-butene (1476-11-5)†"
110-57-6,"trans-1,4-Dichloro-2-butene",1.0,,,"Isomer of: 1,4-Dichloro-2-butene (cis/trans mixture) (764-41-0)"
1649-08-7,"1,2-Dichloro-1,1-difluoroethane (HCFC-132b)",1.0,,,
75-71-8,Dichlorodifluoromethane (CFC-12),1.0,,,
107-06-2,"1,2-Dichloroethane",0.1,,,
540-59-0,"1,2-Dichloroethylene",1.0,,,"Includes the following isomers:
• cis-1,2-Dichloroethylene (156-59-2)†
• trans-1,2-Dichloroethylene (156-60-5)†"
1717-00-6,"1,1-Dichloro-1-fluoroethane (HCFC-141b)",1.0,,,
75-43-4,Dichlorofluoromethane (HCFC-21),1.0,,,
75-09-2,Dichloromethane (Methylene chloride),0.1,,,
127564-92-5,Dichloropentafluoropropane,1.0,,,"Includes the following isomers: 
• 1,2-Dichloro-1,1,2,3,3-pentafluoropropane (HCFC-225bb) (422-44-6)
• 2,3-Dichloro-1,1,1,2,3-pentafluoropropane (HCFC-225ba) (422-48-0)
• 3,3-Dichloro-1,1,1,2,2-pentafluoropropane (HCFC-225ca) (422-56-0)
• 1,2-Dichloro-1,1,3,3,3-pentafluoropropane (HCFC-225da) (431-86-7)
• 1,3-Dichloro-1,1,2,2,3-pentafluoropropane (HCFC-225cb) (507-55-1)
• 1,1-Dichloro-1,2,2,3,3-pentafluoropropane (HCFC-225cc) (13474-88-9) 
• 1,1-Dichloro-1,2,3,3,3-pentafluoropropane (HCFC-225eb) (111512-56-2)
• 2,2-Dichloro-1,1,1,3,3-pentafluoropropane (HCFC-225aa) (128903-21-9)
• 1,3-Dichloro-1,1,2,3,3-pentafluoropropane (HCFC-225ea) (136013-79-1) "
13474-88-9,"1,1-Dichloro-1,2,2,3,3-pentafluoropropane (HCFC-225cc)",1.0,,,Isomer of: Dichloropentafluoropropane (Positions of Cl and F unspecified) (127564-92-5)
111512-56-2,"1,1-Dichloro-1,2,3,3,3-pentafluoropropane (HCFC-225eb)",1.0,,,Isomer of: Dichloropentafluoropropane (Positions of Cl and F unspecified) (127564-92-5)
422-44-6,"1,2-Dichloro-1,1,2,3,3-pentafluoropropane (HCFC-225bb)",1.0,,,Isomer of: Dichloropentafluoropropane (Positions of Cl and F unspecified) (127564-92-5)
431-86-7,"1,2-Dichloro-1,1,3,3,3-pentafluoropropane (HCFC-225da)",1.0,,,Isomer of: Dichloropentafluoropropane (Positions of Cl and F unspecified) (127564-92-5)
507-55-1,"1,3-Dichloro-1,1,2,2,3-pentafluoropropane (HCFC-225cb)",1.0,,,Isomer of: Dichloropentafluoropropane (Positions of Cl and F unspecified) (127564-92-5)
136013-79-1,"1,3-Dichloro-1,1,2,3,3-pentafluoropropane (HCFC-225ea)",1.0,,,Isomer of: Dichloropentafluoropropane (Positions of Cl and F unspecified) (127564-92-5)
128903-21-9,"2,2-Dichloro-1,1,1,3,3-pentafluoropropane (HCFC-225aa)",1.0,,,Isomer of: Dichloropentafluoropropane (Positions of Cl and F unspecified) (127564-92-5)
422-48-0,"2,3-Dichloro-1,1,1,2,3-pentafluoropropane (HCFC-225ba)",1.0,,,Isomer of: Dichloropentafluoropropane (Positions of Cl and F unspecified) (127564-92-5)
422-56-0,"3,3-Dichloro-1,1,1,2,2-pentafluoropropane (HCFC-225ca)",1.0,,,Isomer of: Dichloropentafluoropropane (Positions of Cl and F unspecified) (127564-92-5)
97-23-4,Dichlorophene,1.0,,,
120-83-2,"2,4-Dichlorophenol",1.0,,,
78-87-5,"1,2-Dichloropropane",0.1,,,
96-23-1,"1,3-Dichloro-2-propanol ",,,,
10061-02-6,"trans-1,3-Dichloropropene",0.1,,,"Isomer of: 1,3-Dichloropropylene (cis/trans mixture) (542-75-6)"
78-88-6,"2,3-Dichloropropene",1.0,,,
542-75-6,"1,3-Dichloropropylene (1,3-Dichloropropene)",0.1,,,"Includes the following isomers:
• cis-1,3-Dichloropropene (10061-01-5)†
• trans-1,3-Dichloropropene (10061-02-6)"
76-14-2,Dichlorotetrafluoroethane (CFC-114),1.0,,,
34077-87-7,Dichlorotrifluoroethane,1.0,,,"Includes the following isomers: 
• 2,2-Dichloro-1,1,1-trifluoroethane (HCFC-123) (306-83-2)
• 1,2-Dichloro-1,1,2-trifluoroethane (HCFC-123a) (354-23-4)
• 1,1-Dichloro-1,2,2-trifluoroethane (HCFC-123b) (812-04-4)
• Dichloro-1,1,2-trifluoroethane (90454-18-5)"
90454-18-5,"Dichloro-1,1,2-trifluoroethane",1.0,,,Isomer of: Dichlorotrifluoroethane (Positions of Cl and F unspecified) (34077-87-7)
812-04-4,"1,1-Dichloro-1,2,2-trifluoroethane (HCFC-123b)",1.0,,,Isomer of: Dichlorotrifluoroethane (Positions of Cl and F unspecified) (34077-87-7)
354-23-4,"1,2-Dichloro-1,1,2-trifluoroethane (HCFC-123a)",1.0,,,Isomer of: Dichlorotrifluoroethane (Positions of Cl and F unspecified) (34077-87-7)
306-83-2,"2,2-Dichloro-1,1,1-trifluoroethane (HCFC-123)",1.0,,,Isomer of: Dichlorotrifluoroethane (Positions of Cl and F unspecified) (34077-87-7)
62-73-7,Dichlorvos,0.1,,,
51338-27-3,Diclofop methyl,1.0,,,
115-32-2,Dicofol,1.0,,,
77-73-6,Dicyclopentadiene,1.0,,,
1464-53-5,Diepoxybutane,0.1,,,
111-42-2,Diethanolamine,1.0,,,
38727-55-8,Diethatyl ethyl,1.0,,,
117-81-7,Di(2-ethylhexyl) phthalate,0.1,,,
64-67-5,Diethyl sulfate,0.1,,,
35367-38-5,Diflubenzuron,1.0,,,
101-90-6,Diglycidyl resorcinol ether,0.1,,,
94-58-6,Dihydrosafrole,0.1,,,
55290-64-7,Dimethipin,1.0,,,
60-51-5,Dimethoate,1.0,,,
119-90-4,"3,3'-Dimethoxybenzidine",0.1,,,
20325-40-0,"3,3'-Dimethoxybenzidine dihydrochloride",0.1,,,
111984-09-9,"3,3'-Dimethoxybenzidine monohydrochloride",0.1,,,
124-40-3,Dimethylamine,1.0,,,
2300-66-5,Dimethylamine dicamba,1.0,,,
60-11-7,4-Dimethylaminoazobenzene,0.1,,,
121-69-7,"N,N-Dimethylaniline",1.0,,,
119-93-7,"3,3'-Dimethylbenzidine",0.1,,,
612-82-8,"3,3'-Dimethylbenzidine dihydrochloride",0.1,,,
41766-75-0,"3,3'-Dimethylbenzidine dihydrofluoride",0.1,,,
79-44-7,Dimethylcarbamoyl chloride,0.1,,,
2524-03-0,Dimethyl chlorothiophosphate,1.0,,,
68-12-2,"N,N-Dimethylformamide",0.1,,,
57-14-7,"1,1-Dimethylhydrazine",0.1,,,
105-67-9,"2,4-Dimethylphenol",1.0,,,
131-11-3,Dimethyl phthalate,1.0,,,
77-78-1,Dimethyl sulfate,0.1,,,
99-65-0,m-Dinitrobenzene,1.0,,,
528-29-0,o-Dinitrobenzene,1.0,,,
100-25-4,p-Dinitrobenzene,1.0,,,
88-85-7,Dinitrobutyl phenol (Dinoseb),1.0,,,
534-52-1,"4,6-Dinitro-o-cresol",1.0,,,
51-28-5,"2,4-Dinitrophenol",1.0,,,
121-14-2,"2,4-Dinitrotoluene",0.1,,,
606-20-2,"2,6-Dinitrotoluene",0.1,,,Isomer of: Dinitrotoluene (mixed isomers) (25321-14-6)
25321-14-6,Dinitrotoluene (mixed isomers),1.0,,,"Includes the following isomers: 
• 2,4-Dinitrotoluene (121-14-2)
• 2,6-Dinitrotoluene (606-20-2)"
39300-45-3,Dinocap,1.0,,,
123-91-1,"1,4-Dioxane",0.1,,,
957-51-7,Diphenamid,1.0,,,
122-39-4,Diphenylamine,0.1,,,
122-66-7,"1,2-Diphenylhydrazine",0.1,,,
2164-07-0,Dipotassium endothall,1.0,,,
136-45-8,Dipropyl isocinchomeronate,1.0,,,
138-93-2,Disodium cyanodithioimidocarbonate,1.0,,,
94-11-1,"2,4-D isopropyl ester",0.1,,,
541-53-7,"2,4-Dithiobiuret (Dithiobiuret)",1.0,,,
330-54-1,Diuron,1.0,,,
2439-10-3,Dodine,1.0,,,
120-36-5,"2,4-DP (Dichlorprop)",0.1,,,
1320-18-9,"2,4-D propylene glycol butyl ether ester (2,4-D 2-butoxymethylethyl ester)",0.1,,,
2702-72-9,"2,4-D sodium salt",0.1,,,
106-89-8,Epichlorohydrin,0.1,,,
13194-48-4,Ethoprop,1.0,,,
110-80-5,2-Ethoxyethanol,1.0,,,
140-88-5,Ethyl acrylate,0.1,,,
100-41-4,Ethylbenzene,0.1,,,
541-41-3,Ethyl chloroformate,1.0,,,
759-94-4,S-Ethyl dipropylthiocarbamate,1.0,,,
74-85-1,Ethylene,1.0,,,
107-21-1,Ethylene glycol,1.0,,,
151-56-4,Ethyleneimine (Aziridine),0.1,,,
75-21-8,Ethylene oxide,0.1,,,
96-45-7,Ethylene thiourea,0.1,,,
75-34-3,"Ethylidene dichloride (1,1-Dichloroethane)",1.0,,,
52-85-7,Famphur,1.0,,,
60168-88-9,Fenarimol,1.0,,,
13356-08-6,Fenbutatin oxide,1.0,,,
66441-23-4,Fenoxaprop-ethyl,1.0,,,
72490-01-8,Fenoxycarb,1.0,,,
39515-41-8,Fenpropathrin,1.0,,,
55-38-9,Fenthion,1.0,,,
51630-58-1,Fenvalerate,1.0,,,
14484-64-1,Ferbam,1.0,,,
69806-50-4,Fluazifop-butyl,1.0,,,
2164-17-2,Fluometuron,1.0,,,
7782-41-4,Fluorine,1.0,,,
51-21-8,Fluorouracil (5-Fluorouracil),1.0,,,
69409-94-5,Fluvalinate,1.0,,,
133-07-3,Folpet,1.0,,,
72178-02-0,Fomesafen,1.0,,,
50-00-0,Formaldehyde,0.1,,,
75-12-7,Formamide,1.0,,,
64-18-6,Formic acid,1.0,,,
76-13-1,Freon 113 (CFC-113),1.0,,,
110-00-9,Furan,0.1,,,
556-52-5,Glycidol,0.1,,,
76-44-8,Heptachlor,*,,,
118-74-1,Hexachlorobenzene,*,,,
87-68-3,"Hexachloro-1,3-butadiene (Hexachlorobutadiene)",1.0,,,
319-84-6,alpha-Hexachlorocyclohexane,0.1,,,
77-47-4,Hexachlorocyclopentadiene,1.0,,,
67-72-1,Hexachloroethane,0.1,,,
1335-87-1,Hexachloronaphthalene,1.0,,,
70-30-4,Hexachlorophene,1.0,,,
1222-05-5,"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",*,,,
680-31-9,Hexamethylphosphoramide,0.1,,,
110-54-3,n-Hexane (Hexane),1.0,,,
51235-04-2,Hexazinone,1.0,,,
67485-29-4,Hydramethylnon,1.0,,,
302-01-2,Hydrazine,0.1,,,
10034-93-2,Hydrazine sulfate (1:1),0.1,,,
7647-01-0,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",1.0,,,Chemical qualifier: Reportable only in an aerosol form as defined.
74-90-8,Hydrogen cyanide,1.0,,,
7664-39-3,Hydrogen fluoride (Hydrofluoric acid),1.0,,,
7783-06-4,Hydrogen sulfide,1.0,,,
123-31-9,Hydroquinone,1.0,,,
111-41-1,N-Hydroxyethylethylenediamine,1.0,,,
35554-44-0,Imazalil,1.0,,,
55406-53-6,3-Iodo-2-propynyl butylcarbamate,1.0,,,
13463-40-6,Iron pentacarbonyl,1.0,,,
78-84-2,Isobutyraldehyde,1.0,,,
465-73-6,Isodrin,*,,,
25311-71-1,Isofenphos,1.0,,,
78-79-5,Isoprene,0.1,,,
67-63-0,"Isopropyl alcohol (Isopropanol) (only persons who manufacture by the strong acid process are subject, no supplier notification)",1.0,,,
80-05-7,"4,4'-Isopropylidenediphenol",1.0,,,
120-58-1,Isosafrole,1.0,,,
77501-63-4,Lactofen,1.0,,,
7439-92-1,Lead,* See notes,,,
58-89-9,Lindane,0.1,,,
330-55-2,Linuron,1.0,,,
554-13-2,Lithium carbonate,1.0,,,
121-75-5,Malathion,0.1,,,
108-31-6,Maleic anhydride,1.0,,,
109-77-3,Malononitrile,1.0,,,
12427-38-2,Maneb,1.0,,,
7439-96-5,Manganese,1.0,,,
93-65-2,Mecoprop,0.1,,,
149-30-4,2-Mercaptobenzothiazole,0.1,,,
7439-97-6,Mercury,*,,,
150-50-5,Merphos,1.0,,,
126-98-7,Methacrylonitrile,1.0,,,
137-42-8,Metham sodium (Sodium methyldithiocarbamate),1.0,,,
67-56-1,Methanol,1.0,,,
20354-26-1,Methazole,1.0,,,
2032-65-7,Methiocarb,1.0,,,
94-74-6,Methoxone (MCPA),0.1,,,
3653-48-3,Methoxone sodium salt,0.1,,,
72-43-5,Methoxychlor,*,,,
109-86-4,2-Methoxyethanol,1.0,,,
96-33-3,Methyl acrylate,0.1,,,
1634-04-4,Methyl tert-butyl ether,1.0,,,
79-22-1,Methyl chlorocarbonate,1.0,,,
101-14-4,"4,4'-Methylenebis(2-chloroaniline)",0.1,,,
101-61-1,"4,4'-Methylenebis(N,N-dimethyl)benzenamine (4,4'-Methylenebis[N,N-dimethylaniline])",0.1,,,
74-95-3,Methylene bromide (Dibromomethane),1.0,,,
101-77-9,"4,4'-Methylenedianiline",0.1,,,
93-15-2,Methyleugenol,0.1,,,
60-34-4,Methyl hydrazine,1.0,,,
74-88-4,Methyl iodide,1.0,,,
108-10-1,Methyl isobutyl ketone,0.1,,,
624-83-9,Methyl isocyanate,1.0,,,
556-61-6,Methyl isothiocyanate,1.0,,,
75-86-5,2-Methyllactonitrile (Acetone cyanohydrin),1.0,,,
80-62-6,Methyl methacrylate,1.0,,,
924-42-5,N-Methylolacrylamide,0.1,,,
298-00-0,Methyl parathion,1.0,,,
109-06-8,2-Methylpyridine,1.0,,,
872-50-4,N-Methyl-2-pyrrolidone,1.0,,,
9006-42-2,Metiram,1.0,,,
21087-64-9,Metribuzin,1.0,,,
7786-34-7,Mevinphos,1.0,,,
90-94-8,Michler’s ketone,0.1,,,
2212-67-1,Molinate,1.0,,,
1313-27-5,Molybdenum trioxide,0.1,,,
76-15-3,Monochloropentafluoroethane (CFC-115),1.0,,,
150-68-5,Monuron,1.0,,,
505-60-2,Mustard gas,0.1,,,
88671-89-0,Myclobutanil,1.0,,,
142-59-6,Nabam,1.0,,,
300-76-5,Naled,1.0,,,
91-20-3,Naphthalene,0.1,,,
134-32-7,alpha-Naphthylamine (1-Naphthalenamine),0.1,,,
91-59-8,beta-Naphthylamine (2-Naphthalenamine),0.1,,,
7440-02-0,Nickel,0.1,,,
1929-82-4,Nitrapyrin,1.0,,,
7697-37-2,Nitric acid,1.0,,,
139-13-9,Nitrilotriacetic acid,0.1,,,
5064-31-3,Nitrilotriacetic acid trisodium salt,0.1,,,
100-01-6,p-Nitroaniline,1.0,,,
99-59-2,5-Nitro-o-anisidine (2-Methoxy-5-nitroaniline),1.0,,,
91-23-6,o-Nitroanisole,0.1,,,
98-95-3,Nitrobenzene,0.1,,,
92-93-3,4-Nitrobiphenyl,0.1,,,
1836-75-5,Nitrofen,0.1,,,
51-75-2,Nitrogen mustard (HN-2),0.1,,,
55-63-0,Nitroglycerin,1.0,,,
75-52-5,Nitromethane,0.1,,,
88-75-5,2-Nitrophenol (o-Nitrophenol),1.0,,,
100-02-7,4-Nitrophenol (p-Nitrophenol),1.0,,,
79-46-9,2-Nitropropane,0.1,,,
924-16-3,N-Nitrosodi-n-butylamine,0.1,,,
55-18-5,N-Nitrosodiethylamine,0.1,,,
62-75-9,N-Nitrosodimethylamine,0.1,,,
86-30-6,N-Nitrosodiphenylamine,1.0,,,
156-10-5,p-Nitrosodiphenylamine,1.0,,,
621-64-7,N-Nitrosodi-n-propylamine,0.1,,,
759-73-9,N-Nitroso-N-ethylurea,0.1,,,
684-93-5,N-Nitroso-N-methylurea,0.1,,,
4549-40-0,N-Nitrosomethylvinylamine,0.1,,,
59-89-2,N-Nitrosomorpholine,0.1,,,
16543-55-8,N-Nitrosonornicotine,0.1,,,
100-75-4,N-Nitrosopiperidine,0.1,,,
88-72-2,o-Nitrotoluene,0.1,,,
99-55-8,5-Nitro-o-toluidine (2-Methyl-5-nitroaniline),1.0,,,
27314-13-2,Norflurazon,1.0,,,
2234-13-1,Octachloronaphthalene,1.0,,,
29082-74-4,Octachlorostyrene,*,,,
19044-88-3,Oryzalin,1.0,,,
20816-12-0,Osmium tetroxide,1.0,,,
19666-30-9,Oxadiazon,1.0,,,
301-12-2,Oxydemeton-methyl,1.0,,,
42874-03-3,Oxyfluorfen,1.0,,,
10028-15-6,Ozone,1.0,,,
123-63-7,Paraldehyde,1.0,,,
1910-42-5,Paraquat dichloride,1.0,,,
56-38-2,Parathion,0.1,,,
1114-71-2,Pebulate,1.0,,,
40487-42-1,Pendimethalin,*,,,
