CASRN,Chemical Name
678-39-7,"1-Decanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-"
118400-71-8,"Disulfides, bis(_-_-perfluoro-C6-20-alkyl)"
2043-54-1,"Dodecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-heneicosafluoro-12-iodo-"
27619-91-6,"1-Dodecanesulfonyl chloride, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluoro-"
865-86-1,"1-Dodecanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluoro-"
65104-65-6,"1-Eicosanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,20-heptatriacontafluoro-"
65636-35-3,"Ethanaminium, N,N-diethyl-N-methyl-2-[(2-methyl-1-oxo-2-propenyl)oxy]-, methyl sulfate, polymer with 2-ethylhexyl 2-methyl-2-propenoate, _-fluoro-_-[2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl]poly(difluoromethylene), 2-hydroxyethyl 2-methyl-2-propenoate and N-(hydroxymethyl)-2-propenamide"
56773-42-3,"Ethanaminium, N,N,N-triethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-1-octanesulfonic acid (1:1)"
182176-52-9,"Ethaneperoxoic acid, reaction products with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl thiocyanate and 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl thiocyanate"
65530-74-7,"Ethanol, 2,2'-iminobis-, compd. with _-fluoro-_-[2-(phosphonooxy)ethyl]poly(difluoromethylene) (1:1)"
65530-63-4,"Ethanol, 2,2'-iminobis-, compd. with _-fluoro-_-[2-(phosphonooxy)ethyl]poly(difluoromethylene) (2:1)"
65530-64-5,"Ethanol, 2,2'-iminobis-, compd. with _,_'-[phosphinicobis(oxy-2,1-ethanediyl)]bis[_-fluoropoly(difluoromethylene)] (1:1)"
423-82-5,2-[Ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl acrylate
376-14-7,2-[Ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl methacrylate
1691-99-2,N-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide
72623-77-9,"Fatty acids, C6-18, perfluoro, ammonium salts"
72968-38-8,"Fatty acids, C7-13, perfluoro, ammonium salts"
178535-23-4,"Fatty acids, linseed-oil, _-_-perfluoro-C8-14-alkyl esters"
27619-97-2,6:2 Fluorotelomer sulfonate acid
59587-39-2,6:2 Fluorotelomer sulfonate ammonium salt
425670-75-3,6:2 Fluorotelomer sulfonate anion
59587-38-1,6:2 Fluorotelomer sulfonate potassium salt
27619-94-9,6:2 Fluorotelomer sulfonate sodium salt
2991-51-7,"Glycine, N-ethyl-N-[(heptadecafluorooctyl)sulfonyl]-, potassium salt"
67584-62-7,"Glycine, N-ethyl-N-[(pentadecafluoroheptyl)sulfonyl]-, potassium salt"
67584-53-6,"Glycine, N-ethyl-N-[(tridecafluorohexyl)sulfonyl]-, potassium salt"
67584-52-5,"Glycine, N-ethyl-N-[(undecafluoropentyl)sulfonyl]-, potassium salt"
55910-10-6,"Glycine, N-[(heptadecafluorooctyl)sulfonyl]-N-propyl-, potassium salt"
1652-63-7,"3-[[(Heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-1-propanaminium iodide"
25268-77-3,2-[[(Heptadecafluorooctyl)sulfonyl]methylamino]ethyl acrylate
68957-62-0,"1-Heptanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-"
68555-76-0,"1-Heptanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-N-(2-hydroxyethyl)-N-methyl-"
68259-07-4,"1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-, ammonium salt"
70225-15-9,"1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-, compd. with 2,2'-iminobis[ethanol] (1:1)"
60270-55-5,"1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-, potassium salt"
335-71-7,"1-Heptanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-"
65510-55-6,"Hexadecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14-nonacosafluoro-16-iodo-"
60699-51-6,"1-Hexadecanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,16-nonacosafluoro-"
13252-13-6,Hexafluoropropylene oxide dimer acid
62037-80-3,Hexafluoropropylene oxide dimer acid ammonium salt
135228-60-3,"Hexane, 1,6-diisocyanato-, homopolymer, _-_-perfluoro-C6-20-alc.-blocked"
68555-75-9,"1-Hexanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-N-(2-hydroxyethyl)-N-methyl-"
68259-08-5,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, ammonium salt"
70225-16-0,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, compd. with 2,2'-iminobis[ethanol] (1:1)"
3871-99-6,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, potassium salt"
90076-65-6,Lithium bis[(trifluoromethyl)sulfonyl] azanide 
29457-72-5,Lithium (perfluorooctane)sulfonate
376-27-2,Methyl perfluorooctanoate
17202-41-4,"1-Nonanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-nonadecafluoro-, ammonium salt"
16517-11-6,"Octadecanoic acid, pentatriacontafluoro-"
65104-67-8,"1-Octadecanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,18-tritriacontafluoro-"
2263-09-4,"1-Octanesulfonamide, N-butyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-"
178094-69-4,"1-Octanesulfonamide, N-[3-(dimethyloxidoamino)propyl]-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-, potassium salt"
67969-69-1,"1-Octanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-[2-(phosphonooxy)ethyl]-, diammonium salt"
61660-12-6,"1-Octanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-[3-(trimethoxysilyl)propyl]-"
24448-09-7,"1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-N-methyl-"
31506-32-8,"1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-methyl-"
29081-56-9,"1-Octanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-, ammonium salt"
70225-14-8,"1-Octanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-, compd. with 2,2'-iminobis[ethanol] (1:1)"
335-66-0,"Octanoyl fluoride, pentadecafluoro-"
68555-74-8,"1-Pentanesulfonamide, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-N-(2-hydroxyethyl)-N-methyl-"
68259-09-6,"1-Pentanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-, ammonium salt"
70225-17-1,"1-Pentanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-, compd. with 2,2'-iminobis[ethanol] (1:1)"
3872-25-1,"1-Pentanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-, potassium salt"
71608-60-1,"Pentanoic acid, 4,4-bis[(_-_-perfluoro-C8-20-alkyl)thio] derivs."
377-73-1,Perfluoro-3-methoxypropanoic acid
45187-15-3,Perfluorobutanesulfonate
375-73-5,Perfluorobutane Sulfonic Acid
45048-62-2,Perfluorobutanoate
375-22-4,Perfluorobutanoic acid
335-76-2,Perfluorodecanoic acid
307-55-1,Perfluorododecanoic acid
355-46-4,Perfluorohexanesulfonic acid
307-24-4,Perfluorohexanoic acid
375-95-1,Perfluorononanoic acid
1763-23-1,Perfluorooctane sulfonic acid
335-67-1,Perfluorooctanoic acid
21652-58-4,Perfluorooctyl ethylene
507-63-1,Perfluorooctyl iodide
307-35-7,Perfluorooctylsulfonyl fluoride
67905-19-5,Perfluoropalmitic acid
422-64-0,Perfluoropropanoic acid
376-06-7,Perfluorotetradecanoic acid
68412-69-1,"Phosphinic acid, bis(perfluoro-C6-12-alkyl) derivs."
68412-68-0,"Phosphonic acid, perfluoro-C6-12-alkyl derivs."
74499-44-8,"Phosphoric acid, _-_-perfluoro-C8-16-alkyl esters, compds. with diethanolamine"
123171-68-6,"Poly(difluoromethylene), _-[2-(acetyloxy)-3-[(carboxymethyl)dimethylammonio]propyl]-_-fluoro-, inner salt"
65530-83-8,"Poly(difluoromethylene), _-[2-[(2-carboxyethyl)thio]ethyl]-_-fluoro-"
65530-69-0,"Poly(difluoromethylene), _-[2-[(2-carboxyethyl)thio]ethyl]-_-fluoro-, lithium salt"
65605-56-3,"Poly(difluoromethylene), _-fluoro-_-(2-hydroxyethyl)-, dihydrogen 2-hydroxy-1,2,3-propanetricarboxylate"
65605-57-4,"Poly(difluoromethylene), _-fluoro-_-(2-hydroxyethyl)-, hydrogen 2-hydroxy-1,2,3-propanetricarboxylate"
65530-59-8,"Poly(difluoromethylene), _-fluoro-_-(2-hydroxyethyl)-, 2-hydroxy-1,2,3-propanetricarboxylate (3:1)"
65530-66-7,"Poly(difluoromethylene), _-fluoro-_-[2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl]-"
65530-65-6,"Poly(difluoromethylene), _-fluoro-_-[2-[(1-oxooctadecyl)oxy]ethyl]-"
65605-73-4,"Poly(difluoromethylene), _-fluoro-_-[2-[(1-oxo-2-propenyl)oxy]ethyl]-, homopolymer"
65530-61-2,"Poly(difluoromethylene), _-fluoro-_-[2-(phosphonooxy)ethyl]-"
95144-12-0,"Poly(difluoromethylene), _-fluoro-_-[2-(phosphonooxy)ethyl]-, ammonium salt"
65530-72-5,"Poly(difluoromethylene), _-fluoro-_-[2-(phosphonooxy)ethyl]-, diammonium salt"
65530-71-4,"Poly(difluoromethylene), _-fluoro-_-[2-(phosphonooxy)ethyl]-, monoammonium salt"
80010-37-3,"Poly(difluoromethylene), _-fluoro-_-[2-sulphoethyl)-"
65530-62-3,"Poly(difluoromethylene), _,_'-[phosphinicobis(oxy-2,1-ethanediyl)]bis[_-fluoro-"
65530-70-3,"Poly(difluoromethylene), _,_'-[phosphinicobis(oxy-2,1-ethanediyl)]bis[_-fluoro-, ammonium salt"
29117-08-6,"Poly(oxy-1,2-ethanediyl), _-[2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl]-_-hydroxy-"
68958-61-2,"Poly(oxy-1,2-ethanediyl), _-[2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl]-_-methoxy-"
68298-81-7,"Poly(oxy-1,2-ethanediyl), _-[2-[ethyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl]-_-hydroxy-"
68958-60-1,"Poly(oxy-1,2-ethanediyl), _-[2-[ethyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl]-_-methoxy-"
56372-23-7,"Poly(oxy-1,2-ethanediyl), _-[2-[ethyl[(tridecafluorohexyl)sulfonyl]amino]ethyl]-_-hydroxy-"
68298-80-6,"Poly(oxy-1,2-ethanediyl), _-[2-[ethyl[(undecafluoropentyl)sulfonyl]amino]ethyl]-_-hydroxy-"
65545-80-4,"Poly(oxy-1,2-ethanediyl), _-hydro-_-hydroxy-, ether with _-fluoro-_-(2-hydroxyethyl)poly(difluoromethylene) (1:1)"
70983-59-4,"Poly(oxy-1,2-ethanediyl), _-methyl-_-hydroxy-, 2-hydroxy-3-[(_-_-perfluoro-C6-20-alkyl)thio]propyl ethers"
37338-48-0,"Poly[oxy(methyl-1,2-ethanediyl)], _-[2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl]-_-hydroxy-"
68259-39-2,"Poly[oxy(methyl-1,2-ethanediyl)], _-[2-[ethyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl]-_-hydroxy-"
68259-38-1,"Poly[oxy(methyl-1,2-ethanediyl)], _-[2-[ethyl[(tridecafluorohexyl)sulfonyl]amino]ethyl]-_-hydroxy-"
68310-17-8,"Poly[oxy(methyl-1,2-ethanediyl)], _-[2-[ethyl[(undecafluoropentyl)sulfonyl]amino]ethyl]-_-hydroxy-"
2966-54-3,Potassium heptafluorobutanoate
29420-49-3,Potassium Perfluorobutane Sulfonate
2795-39-3,Potassium perfluorooctanesulfonate
2395-00-8,Potassium perfluorooctanoate
1078715-61-3,"1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-[2-[(_-_-perfluoro-C4-20-alkyl)thio]acetyl] derivs., inner salts"
38006-74-5,"1-Propanaminium, 3-[[(heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-, chloride"
70983-60-7,"1-Propanaminium, 2-hydroxy-N,N,N-trimethyl-, 3-[(_-_-perfluoro-C6-20-alkyl)thio] derivs., chlorides"
68555-81-7,"1-Propanaminium, N,N,N-trimethyl-3-[[(pentadecafluoroheptyl)sulfonyl]amino]-, chloride"
67584-58-1,"1-Propanaminium, N,N,N-trimethyl-3-[[(pentadecafluoroheptyl)sulfonyl]amino]-, iodide"
52166-82-2,"1-Propanaminium, N,N,N-trimethyl-3-[[(tridecafluorohexyl)sulfonyl]amino]-, chloride"
68957-58-4,"1-Propanaminium, N,N,N-trimethyl-3-[[(tridecafluorohexyl)sulfonyl]amino]-, iodide"
68957-55-1,"1-Propanaminium, N,N,N-trimethyl-3-[[(undecafluoropentyl)sulfonyl]amino]-, chloride"
68957-57-3,"1-Propanaminium, N,N,N-trimethyl-3-[[(undecafluoropentyl)sulfonyl]amino]-, iodide"
238420-80-9,"Propanedioic acid, mono(_-_-perfluoro-C8-12-alkyl) derivs., bis[4-(ethenyloxy)butyl] esters"
238420-68-3,"Propanedioic acid, mono(_-_-perfluoro-C8-12-alkyl) derivs., di-me esters"
148240-85-1,"1,3-Propanediol, 2,2-bis[[(_-_-perfluoro-C4-10-alkyl)thio]methyl] derivs., phosphates, ammonium salts"
148240-87-3,"1,3-Propanediol, 2,2-bis[[(_-_-perfluoro-C6-12-alkyl)thio]methyl] derivs., phosphates, ammonium salts"
1078142-10-5,"1,3-Propanediol, 2,2-bis[[(_-_-perfluoro-C6-12-alkyl)thio]methyl] derivs., polymers with 2,2-bis[[(_-_-perfluoro-C10-20-alkyl)thio]methyl]-1,3-propanediol, 1,6-diisocyanato-2,2,4(or 2,4,4)-trimethylhexane, 2-heptyl-3,4-bis(9-isocyanatononyl)-1-pentylcyclohexane and 2,2'-(methylimino)bis[ethanol]"
148240-89-5,"1,3-Propanediol, 2,2-bis[[(_-_-perfluoro-C10-20-alkyl)thio]methyl] derivs., phosphates, ammonium salts"
68187-47-3,"1-Propanesulfonic acid, 2-methyl-, 2-[[1-oxo-3-[(_-_-perfluoro-C4-16-alkyl)thio]propyl]amino] derivs., sodium salts"
68227-96-3,"2-Propenoic acid, butyl ester, telomer with 2-[[(heptadecafluorooctyl)sulfonyl]methylamino]ethyl 2-propenoate, 2-[methyl[(nonafluorobutyl)sulfonyl]amino]ethyl 2-propenoate, _-(2-methyl-1-oxo-2-propenyl)-_-hydroxypoly(oxy-1,4-butanediyl), _-(2-methyl-1-oxo-2-propenyl)-_-[(2-methyl-1-oxo-2-propenyl)oxy]poly(oxy-1,4-butanediyl), 2-[methyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(tridecafluorohexyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(undecafluoropentyl)sulfonyl]amino]ethyl 2-propenoate and 1-octanethiol"
68298-62-4,"2-Propenoic acid, 2-[butyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl ester, telomer with 2-[butyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-propenoate, methyloxirane polymer with oxirane di-2-propenoate, methyloxirane polymer with oxirane mono-2-propenoate and 1-octanethiol"
65605-58-5,"2-Propenoic acid, esters, 2-methyl-, dodecyl ester, polymer with _-fluoro-_-[2-[(2-methyl-1-oxo-2-propen-1-yl)oxy]ethyl]poly(difluoromethylene)"
59071-10-2,"2-Propenoic acid, 2-[ethyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl ester"
68867-60-7,"2-Propenoic acid, 2-[[(heptadecafluorooctyl)sulfonyl]methylamino]ethyl ester, polymer with 2-[methyl[(nonafluorobutyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(tridecafluorohexyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(undecafluoropentyl)sulfonyl]amino]ethyl 2-propenoate and _-(1-oxo-2-propenyl)-_-methoxypoly(oxy-1,2-ethanediyl)"
150135-57-2,"2-Propenoic acid, 2-methyl-, 2-(dimethylamino)ethyl ester, polymers with Bu acrylate, _-_-perfluoro-C8-14-alkyl acrylate and polyethylene glycol monomethacrylate, 2,2'-azobis[2,4-dimethylpentanenitrile]-initiated"
196316-34-4,"2-Propenoic acid, 2-methyl-, 2-(dimethylamino)ethyl ester, polymers with _-_-perfluoro-C10-16-alkyl acrylate and vinyl acetate, acetates"
65605-59-6,"2-Propenoic acid, 2-methyl-, dodecyl ester, polymer with _-fluoro-_-[2-[(2-methyl-1-oxo-2-propen-1-yl)oxy]ethyl]poly(difluoromethylene) and N-(hydroxymethyl)-2-propenamide"
203743-03-7,"2-Propenoic acid, 2-methyl-, hexadecyl ester, polymers with 2-hydroxyethyl methacrylate, _-_-perfluoro-C10-16-alkyl acrylate and stearyl methacrylate"
68555-91-9,"2-Propenoic acid, 2-methyl-, 2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl ester, polymer with 2-[ethyl[(nonafluorobutyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate, 2-[ethyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate, 2-[ethyl[(tridecafluorohexyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate, 2-[ethyl[(undecafluoropentyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate and octadecyl 2-methyl-2-propenoate"
68239-43-0,"2-Propenoic acid, 2-methyl-, 2-ethylhexyl ester, polymer with _-fluoro-_-[2-[(2-methyl-1-oxo-2-propen-1-yl)oxy]ethyl]poly(difluoromethylene), 2-hydroxyethyl 2-methyl-2-propenoate and N-(hydroxymethyl)-2-propenamide"
2144-54-9,"2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl ester"
65104-45-2,"2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl ester, polymer with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl 2-methyl-2-propenoate, methyl 2-methyl-2-propenoate, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecyl 2-methyl-2-propenoate and 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl 2-methyl-2-propenoate"
1996-88-9,"2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl ester"
4980-53-4,"2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,16-nonacosafluorohexadecyl ester"
142636-88-2,"2-Propenoic acid, 2-methyl-, octadecyl ester, polymer with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl 2-propenoate, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl 2-propenoate and 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecyl 2-propenoate"
6014-75-1,"2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecyl ester"
68084-62-8,"2-Propenoic acid, 2-[methyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl ester"
200513-42-4,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-methyl-2-propenoate, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl 2-propenoate, 2-hydroxyethyl 2-methyl-2-propenoate and methyl 2-methyl-2-propenoate"
67584-57-0,"2-Propenoic acid, 2-[methyl[(tridecafluorohexyl)sulfonyl]amino]ethyl ester"
67584-56-9,"2-Propenoic acid, 2-[methyl[(undecafluoropentyl)sulfonyl]amino]ethyl ester"
61798-68-3,"Pyridinium, 1-(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)-, salt with 4-methylbenzenesulfonic acid (1:1)"
83048-65-1,"Silane, (3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)trimethoxy-"
78560-44-8,"Silane, trichloro(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)-"
125476-71-3,"Silicic acid (H4SiO4), disodium salt, reaction products with chlorotrimethylsilane and 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-1-decanol"
143372-54-7,"Siloxanes and Silicones, (3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)oxy Me, hydroxy Me, Me octyl, ethers with polyethylene glycol mono-Me ether"
335-93-3,Silver(I) perfluorooctanoate 
2218-54-4,Sodium perfluorobutanoate
3830-45-3,Sodium perfluorodecanoate
2923-26-4,Sodium perfluorohexanoate 
335-95-5,Sodium perfluorooctanoate
4151-50-2,Sulfluramid
180582-79-0,"Sulfonic acids, C6-12-alkane, _-_-perfluoro, ammonium salts"
30046-31-2,"Tetradecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12-pentacosafluoro-14-iodo-"
68758-57-6,"1-Tetradecanesulfonyl chloride, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluoro-"
39239-77-5,"1-Tetradecanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluoro-"
27905-45-9,"1,1,2,2-Tetrahydroperfluorodecyl acrylate"
17741-60-5,"1,1,2,2-Tetrahydroperfluorododecyl acrylate"
34362-49-7,"1,1,2,2-Tetrahydroperfluorohexadecyl acrylate"
34395-24-9,"1,1,2,2-Tetrahydroperfluorotetradecyl acrylate"
97553-95-2,"Thiocyanic acid, _-_-perfluoro-C4-20-alkyl esters"
68140-18-1,"Thiols, C4-10, _-_-perfluoro"
1078712-88-5,"Thiols, C4-20, _-_-perfluoro, telomers with acrylamide and acrylic acid, sodium salts"
68140-20-5,"Thiols, C6-12, _-_-perfluoro"
70969-47-0,"Thiols, C8-20, _-_-perfluoro, telomers with acrylamide"
68140-21-6,"Thiols, C10-20, _-_-perfluoro"
82113-65-3,"1,1,1-Trifluoro-N-[(trifluoromethyl)sulfonyl] methanesulfonamide "
